node0 node5 node24 node10 node17 node18 node2 node6 node11 node20 node31 node26 node45 node23 node40 node50 node27 node47 node34 node62 node39 node69 node56 node65 node77 node60 node70 node78 node66 node119 node53 node87 node80 node89 node81 node86 node91 node92 node88 node93 node94 node129 node99 node127 node102 node122 node107 node136 node108 node123 node111 node112 node124 node121 node128 node125 node144 node135 node148 node151 node130 node152 node143 node154 node162 node166 node140 node170 node160 node171 node161 node185 node164 node7 node163 node196 node6 node169 node182 node199 node9 node177 node5 node183 node3 node0
83
node0 node103
node5 node5
node24 node24
node10 node10
node17 node17
node18 node18
node2 node2
node6 node6
node11 node11
node20 node20
node31 node31
node26 node26
node45 node45
node23 node23
node40 node40
node50 node50
node27 node27
node47 node47
node34 node34
node62 node62
node39 node39
node69 node69
node56 node56
node65 node65
node77 node77
node60 node60
node70 node70
node78 node78
node66 node66
node119 node119
node53 node53
node87 node87
node80 node80
node89 node89
node81 node81
node86 node86
node91 node91
node92 node92
node88 node88
node93 node93
node94 node94
node129 node129
node99 node99
node127 node127
node102 node102
node122 node122
node107 node107
node136 node136
node108 node108
node123 node123
node111 node111
node112 node112
node124 node124
node121 node121
node128 node128
node125 node125
node144 node144
node135 node135
node148 node148
node151 node151
node130 node130
node152 node152
node143 node143
node154 node154
node162 node162
node166 node166
node140 node140
node170 node170
node160 node160
node171 node171
node161 node161
node185 node185
node164 node164
node7
node163 node163
node196 node196
node169 node169
node182 node182
node199 node199
node9
node177 node177
node183 node183
node3
