1FoundersRock 19SouthHall 17Wheeler 18NorthGate 20Ehrman 23Unit3 22Unit2 24Blackwell 21Unit1 26ClarkKerr 29VarsityBerkeley 25Foothill 28SodaHall 27InternationalHouse 30Stonefire 33Wada 32DeltaPhiEpsilon 34Martinez 31Hillegass 36CasaZimbabwe 35ChanningBowdwitch 38RajProperties 37OtherCoop 1FoundersRock 39SanFransisco 1FoundersRock
24
1FoundersRock 16Giannini
19SouthHall 19SouthHall
17Wheeler 17Wheeler
18NorthGate 18NorthGate
20Ehrman 20Ehrman
23Unit3 23Unit3
22Unit2 22Unit2
24Blackwell 24Blackwell
21Unit1 21Unit1
26ClarkKerr 26ClarkKerr
29VarsityBerkeley 29VarsityBerkeley
25Foothill 25Foothill
28SodaHall 28SodaHall
27InternationalHouse 27InternationalHouse
30Stonefire 30Stonefire
33Wada 33Wada
32DeltaPhiEpsilon 32DeltaPhiEpsilon
34Martinez 34Martinez
31Hillegass 31Hillegass
36CasaZimbabwe 36CasaZimbabwe
35ChanningBowdwitch 35ChanningBowdwitch
38RajProperties 38RajProperties
37OtherCoop 37OtherCoop
39SanFransisco 39SanFransisco 40Oaktown
